lang,story name,story path,lines number,chunks number
איטלקית,הבחורה נוסעת לקלבריה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\איטלקית\הבחורה נוסעת לקלבריה.txt,507,7
אירית,נורה של מרכוס הקטן,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אירית\נורה של מרכוס הקטן.txt,693,4
אנגלית,מודל למיליונר,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מודל למיליונר.txt,307,2
אנגלית,מותו של האגרופן או הקרב המהולל בין ג’ייקוב ברק לבליינדמן מקגרו,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מותו של האגרופן או הקרב המהולל בין ג’ייקוב ברק לבליינדמן מקגרו.txt,983,7
אנגלית,מותו של האגרופן או הקרב המהולל בין גייקוב ברק לבליינדמן מקגרו,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מותו של האגרופן או הקרב המהולל בין גייקוב ברק לבליינדמן מקגרו.txt,492,7
אנגלית,מורדים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מורדים.txt,243,2
אנגלית,מוסיקת המקרה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מוסיקת המקרה.txt,653,6
אנגלית,מולי והכובע האדום,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מולי והכובע האדום.txt,509,5
אנגלית,מובי דיק,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מובי דיק.txt,243,2
אנגלית,מאיפה יוצא הפיפי שלך,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מאיפה יוצא הפיפי שלך.txt,213,2
אנגלית,מגע הזהב,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מגע הזהב.txt,303,3
אנגלית,מגידו,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מגידו.txt,623,3
אנגלית,מבעד למנהרה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מבעד למנהרה.txt,573,4
אנגלית,מבעד לאש,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מבעד לאש.txt,179,2
אנגלית,מבחני הכוויה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מבחני הכוויה.txt,299,2
אנגלית,מבחן המרשמלו מיומנות השליטה העצמית הבסיס להצלחה בחיים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מבחן המרשמלו מיומנות השליטה העצמית הבסיס להצלחה בחיים.txt,175,3
אנגלית,מחוברת אליך,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מחוברת אליך.txt,551,4
אנגלית,מדריך לעוזרות בית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מדריך לעוזרות בית.txt,859,5
אנגלית,מחסור,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מחסור.txt,821,6
אנגלית,מלחמת התשוקה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מלחמת התשוקה.txt,405,3
אנגלית,מיועדים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מיועדים.txt,49,1
אנגלית,מקלט,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מקלט.txt,745,4
אנגלית,מקומות אפלים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מקומות אפלים.txt,935,6
אנגלית,מקום יפה למות בו,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מקום יפה למות בו.txt,1789,10
אנגלית,מקוללים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מקוללים.txt,617,5
אנגלית,מצב קודם,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מצב קודם.txt,1203,5
אנגלית,מפוצלים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מפוצלים.txt,251,2
אנגלית,מפגש עם חוליית הבריונים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מפגש עם חוליית הבריונים.txt,863,5
אנגלית,מעריסה לעריסה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מעריסה לעריסה.txt,138,3
אנגלית,מעבר לקצה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מעבר לקצה.txt,793,5
אנגלית,מנהל הדואר,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מנהל הדואר.txt,275,2
אנגלית,מאדאם רוֹז הַאנִי,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מאדאם רוֹז הַאנִי.txt,517,5
אנגלית,מכירת חיסול,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מכירת חיסול.txt,799,5
אנגלית,מיסטר סקווישי,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מיסטר סקווישי.txt,113,2
אנגלית,מילותיו האחרונות של בֵּנִיטוֹ פִּיקוֹנֶה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מילותיו האחרונות של בֵּנִיטוֹ פִּיקוֹנֶה.txt,699,4
אנגלית,מילותיו האחרונות של בֵּנִיטוֹ פִּיקוֹנֶה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מילותיו האחרונות של בֵּנִיטוֹ פִּיקוֹנֶה.txt,699,4
אנגלית,מיומנו של שרלוק הולמס,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מיומנו של שרלוק הולמס.txt,159,2
אנגלית,לפתוח דלת - לסגור עסקה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\לפתוח דלת - לסגור עסקה.txt,221,2
אנגלית,לכל דבר יש מחיר,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\לכל דבר יש מחיר.txt,449,5
אנגלית,לפוצץ רכבת,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\לפוצץ רכבת.txt,407,4
אנגלית,כדור בראש,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\כדור בראש.txt,265,2
אנגלית,כבוד,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\כבוד.txt,181,1
אנגלית,ירח כחול,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\ירח כחול.txt,197,2
אנגלית,יסתובב לו העולם הגדול,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\יסתובב לו העולם הגדול.txt,255,2
אנגלית,ימיה האחרונים של ראביט הייז,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\ימיה האחרונים של ראביט הייז.txt,1711,8
אנגלית,ילדותו של ישו,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\ילדותו של ישו.txt,983,4
אנגלית,ילדה עם שיער מוזר 2,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\ילדה עם שיער מוזר 2.txt,57,1
אנגלית,יורחי הדבש,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\יורחי הדבש.txt,165,2
אנגלית,יומני קרי,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\יומני קרי.txt,351,2
אנגלית,יומני הערפד,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\יומני הערפד.txt,1737,9
אנגלית,יומנה של חוה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\יומנה של חוה.txt,523,4
אנגלית,טמגוצ׳י,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\טמגוצ׳י.txt,559,4
אנגלית,טלויזיה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\טלויזיה.txt,113,1
אנגלית,טיסת לילה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\טיסת לילה.txt,71,1
אנגלית,טובת הילד,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\טובת הילד.txt,543,4
אנגלית,כוחו של אלוהים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\כוחו של אלוהים.txt,311,3
אנגלית,לפרוץ קדימה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\לפרוץ קדימה.txt,367,3
אנגלית,כוס הקפה שגרמה לי להתאהב,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\כוס הקפה שגרמה לי להתאהב.txt,195,2
אנגלית,כיסא הקשירה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\כיסא הקשירה.txt,829,6
אנגלית,לנצח,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\לנצח.txt,147,2
אנגלית,למה הוא עושה את זה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\למה הוא עושה את זה.txt,241,3
אנגלית,ללמוד מהטובים ביותר,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\ללמוד מהטובים ביותר.txt,181,2
אנגלית,ללכת,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\ללכת.txt,2053,10
אנגלית,מקמאפיה-פשע ללא גבולות,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מקמאפיה-פשע ללא גבולות.txt,161,2
אנגלית,לילה אחרון,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\לילה אחרון.txt,157,1
אנגלית,לוותר או להסתער,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\לוותר או להסתער.txt,189,2
אנגלית,לוויתן,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\לוויתן.txt,953,7
אנגלית,לואובוי,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\לואובוי.txt,407,3
אנגלית,להבה אפלה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\להבה אפלה.txt,701,5
אנגלית,לגעת בעושר,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\לגעת בעושר.txt,109,1
אנגלית,לבד בתיאטרון המוות,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\לבד בתיאטרון המוות.txt,185,2
אנגלית,כפרה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\כפרה.txt,737,7
אנגלית,כף הקוֹף,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\כף הקוֹף.txt,515,4
אנגלית,כן!,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\כן!.txt,115,1
אנגלית,כופר נפשו של הצ’יף האדום,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\כופר נפשו של הצ’יף האדום.txt,587,4
אנגלית,מר פוטר,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מר פוטר.txt,209,3
אנגלית,נאמנים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\נאמנים.txt,93,1
אנגלית,משהו כיפי לכאורה שלא אחזור עליו לעולם,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\משהו כיפי לכאורה שלא אחזור עליו לעולם.txt,417,4
אנגלית,קץ הימים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\קץ הימים.txt,633,3
אנגלית,קמבודיה האמיתית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\קמבודיה האמיתית.txt,445,3
אנגלית,קיץ ללא גברים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\קיץ ללא גברים.txt,333,3
אנגלית,קיץ בסמרקנד,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\קיץ בסמרקנד.txt,1051,8
אנגלית,קולד מאונטן,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\קולד מאונטן.txt,779,7
אנגלית,קבר הקיסר,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\קבר הקיסר.txt,329,2
אנגלית,ציפור אלוהים שבשמים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\ציפור אלוהים שבשמים.txt,573,5
אנגלית,צומת באר המים הקרירים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\צומת באר המים הקרירים.txt,729,4
אנגלית,צדק למראית עין,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\צדק למראית עין.txt,247,2
אנגלית,פתרון סופי,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\פתרון סופי.txt,183,2
אנגלית,פעם אחר פעם,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\פעם אחר פעם.txt,339,2
אנגלית,פחות זה הרבה יותר,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\פחות זה הרבה יותר.txt,175,2
אנגלית,פור,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\פור.txt,83,1
אנגלית,עשרה קילומטר דרומה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\עשרה קילומטר דרומה.txt,877,5
אנגלית,עץ עשן,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\עץ עשן.txt,89,1
אנגלית,קרב אותי,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\קרב אותי.txt,605,4
אנגלית,עסקים מחוץ לקופסה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\עסקים מחוץ לקופסה.txt,333,2
אנגלית,קרקע לא מוכרת,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\קרקע לא מוכרת.txt,6265,44
אנגלית,רוי ספייבי,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\רוי ספייבי.txt,535,3
אנגלית,תרופת המוות,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\תרופת המוות.txt,165,1
אנגלית,תיק רצח,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\תיק רצח.txt,697,3
אנגלית,שש דרכים לקפוץ מגשר,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\שש דרכים לקפוץ מגשר.txt,749,5
אנגלית,שנת הבשרים שלי,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\שנת הבשרים שלי.txt,1247,8
אנגלית,שנים עשר השבטים של האטי,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\שנים עשר השבטים של האטי.txt,657,4
אנגלית,שניים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\שניים.txt,595,3
אנגלית,שחרר אותי,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\שחרר אותי.txt,611,3
אנגלית,שחר מפציע,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\שחר מפציע.txt,1051,6
אנגלית,שוקולד,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\שוקולד.txt,391,3
אנגלית,שבת,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\שבת.txt,669,6
אנגלית,רשת אפלה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\רשת אפלה.txt,359,4
אנגלית,רשימות של עכביש,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\רשימות של עכביש.txt,459,4
אנגלית,רקס פורטונטוס ושות’,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\רקס פורטונטוס ושות’.txt,571,8
אנגלית,רכבת לינקולן,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\רכבת לינקולן.txt,1075,5
אנגלית,רונאלדו - השאיפה לשלמות,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\רונאלדו - השאיפה לשלמות.txt,139,1
אנגלית,ראיונות קצרים עם גברים נתעבים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\ראיונות קצרים עם גברים נתעבים.txt,29,2
אנגלית,עלומים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\עלומים.txt,959,7
אנגלית,על שתי רגליים וכנפיים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\על שתי רגליים וכנפיים.txt,745,4
אנגלית,על פני הבריאה כולה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\על פני הבריאה כולה.txt,157,2
אנגלית,נקמת דם בפריז,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\נקמת דם בפריז.txt,357,3
אנגלית,נפילת בית אשר,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\נפילת בית אשר.txt,290,6
אנגלית,נער החידות ממומביי,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\נער החידות ממומביי.txt,1179,5
אנגלית,נעלמת,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\נעלמת.txt,375,3
אנגלית,נסיכת הצעצוע,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\נסיכת הצעצוע.txt,499,6
אנגלית,נסיבות טבעיות,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\נסיבות טבעיות.txt,315,2
אנגלית,נמכרה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\נמכרה.txt,143,1
אנגלית,ניחוח כריזנטמות,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\ניחוח כריזנטמות.txt,1359,7
אנגלית,נגד האלים,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\נגד האלים.txt,161,2
אנגלית,טבעוני בהתהוות,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\טבעוני בהתהוות.txt,655,5
אנגלית,מתנת חכמי-הקדם,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\מתנת חכמי-הקדם.txt,321,2
אנגלית,משתקפת בך,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\משתקפת בך.txt,781,5
אנגלית,משחררי הממלכה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\משחררי הממלכה.txt,487,7
אנגלית,משחקים ושעשועי שווא,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\משחקים ושעשועי שווא.txt,913,4
אנגלית,משחק מוזר לחג המולד,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\אנגלית\משחק מוזר לחג המולד.txt,201,2
